[28]総推力32bit,[22]刀盘扭矩,地表沉降
18209.186143423183,3283.407818376816,-3.9276971074586395
17830.80911901939,3048.1186859651775,-7.797213917515452
17692.31295658865,3072.320561605895,-7.721816227681671
17428.39355297862,3327.038946697562,-5.654240369317053
17701.505149298566,3268.6604837868804,-4.8341232290130804
17962.596284487296,3119.120285391107,-6.862557507871722
18006.251555071434,3247.4128896971934,-2.9338622585569105
18111.942054227595,3155.5549242404677,-3.8008879833195497
18072.76955247844,3249.1377364271866,-2.294841047007317
18140.114399641752,3300.4081218640113,-2.1625170613251363
18135.29215967232,3268.643369356149,-3.9007088427103245
18216.893838931624,3176.7416024917015,-6.304112200544974
18946.67767800223,3070.4446611724447,-5.392433424451765
17753.46545105993,2941.8836678087446,-9.892868237075879
18153.93619363085,3332.8891471948723,-3.623032169177371
18381.223692330816,3176.704272182289,-6.304987505787723
17783.690761375867,3056.6829530461155,-9.91771036828677
17683.668876184438,3115.1096368338517,-8.964891446577386
18447.4553366966,2998.031677626916,-10.271485284740523
18156.667281104445,3186.9801053307438,-8.033453384921145
19189.757644776088,3235.615770779213,-8.654850438969728
18658.452644171295,3369.4271568267604,-5.334241523257834
18913.907567838778,3511.4873653633585,-3.816988340933209
19316.92618682532,3133.0448242202,-7.845800709150808
18792.598171341084,3108.558792050522,-9.456530859602246
18362.925211027024,3233.2448079056126,-7.696771023706441
18966.140748183025,3215.6437095011192,-7.685295271147138
18799.502932508778,3148.843078685305,-6.677654277696908
19092.72862827027,3454.4719291766814,-0.3423772132316163
18366.242632561567,3440.9960427382584,-1.741205477632107
18556.11073883245,3386.5203806352843,-1.0682356674213107
17851.55784358663,3230.65723256264,-6.314215869369903
18205.78505785835,3323.6141265204096,-2.039407063921626
18609.553908915404,3042.130000916301,-6.372860801693571
15274.321882032955,2216.024800267211,-21.210406955969926
18189.560375333534,3445.5685132733565,-2.4302282242803734
18434.06291833648,3016.063995135994,-9.781939072534767
18720.905332105114,2928.2698212288005,-8.514785732147008
18235.726070833138,2996.1750151601123,-10.048183097380534
17805.258326843163,3117.578076823676,-10.826402899407931
18207.90278101022,3219.444875439218,-9.208058284482917
17780.92196633931,3234.971279621327,-8.737727951608097
17811.453516652848,3235.7492628183854,-10.246786139993763
17767.561992451127,3240.9149663944936,-12.383598512388959
18325.22904334755,3609.521343383738,-5.364131142117804
18449.578691932773,3151.983427748213,-9.436546180134737
18059.06377327132,3228.359322820071,-8.497159898166082
18553.14348690382,3294.178647622178,-9.554167197592061
18914.067060959922,2982.017336591906,-11.94752669634785
18954.807813357245,3155.260050145805,-8.684529165856024
18232.333579207192,3382.0294224871027,-6.588578062169278
18397.45670050984,3237.49404926997,-9.112762109120531
18903.46977466243,3233.8431967365495,-8.087673802122797
18393.07619254601,3219.403051313188,-7.498201699583552
18545.796342934376,3326.8446334678674,-7.676474417050436
19177.766637052664,3359.450607932863,-4.867311223931344
18287.764426025577,3337.9392097897944,-7.127339295193617
18184.796199834065,3010.956448003197,-10.066050687527463
17699.886600483973,3010.2249759718316,-12.790662780678813
