[28]総推力32bit,[22]刀盘扭矩,地表沉降
13630.056852902599,1850.844717307814,-12.442183345447654
14149.201201591535,1915.5547607450067,-17.108799362762234
14031.115264373266,1887.5953851737536,-20.162289585725333
14308.64563358175,1905.8466457652626,-27.970644454465535
15862.415362188094,2071.893686218708,-35.039982219679416
17321.38906127868,2089.412822370219,-44.999528820087974
16566.366101698186,2047.5747050189848,-51.74838784582499
16143.88255264366,1966.630103576808,-50.34736107862322
15732.959055988373,1915.172155031233,-48.615596716418295
15998.609703945442,1928.0043832341344,-50.21705710683612
15372.541460837074,2026.2180579862202,-45.14624157173972
15866.04826699787,2183.935667108888,-45.90495343908275
14529.31954871811,2181.1696673284937,-44.56157342896087
15269.247535764416,2123.026593293695,-43.79251786852599
16097.107590363805,2084.168543545169,-43.245574808836956
16595.755738972282,2147.4093943990174,-41.31254024660977
16053.983808305798,2145.6651162148682,-41.40651197619181
16416.119587420304,2339.8618120469464,-37.24582317315331
16568.170209770116,2263.126312155527,-37.9307016947019
16958.05158645127,2352.6390172710494,-35.82341560547411
16866.661164026315,2415.900961334574,-34.67903569466837
16315.649904626342,2233.0993310517333,-38.3267719524268
15420.474768777813,2052.955475986562,-36.2749115411527
15784.472991621566,2158.569657231587,-36.05163666272528
15804.095707622333,2322.4842009022514,-35.20028291299599
16032.352128203163,2266.7189136580087,-37.67555150240344
16334.139363229535,2255.3690837875683,-35.70379282581288
17595.62671394564,2301.947038702383,-35.24950529213278
18005.278804250458,2417.199026399081,-32.76582676131832
17471.45484629802,2463.3982639693922,-31.995013391934837
17287.804994430993,2642.616330588998,-31.56063461108176
17697.728989139185,2436.6865967138297,-33.722485106128715
17246.233774434404,2554.248505747501,-31.743874086845132
17767.99929939229,2754.3235394294825,-27.918375350041558
17121.22939254883,2753.9893305866935,-28.756033860541425
17375.28545262839,2783.227223294914,-27.953606252592557
17610.760018650486,2695.0471204312785,-30.29566001214092
17566.45274068768,2757.5312706979093,-28.127278237030026
18123.758699225673,2721.3284142606312,-28.19619224542842
18160.206276395635,2698.737562341343,-27.239418386909108
18105.440001561645,2758.452552469811,-23.62999253329491
18354.61077964211,2678.2611531394978,-24.698825471049048
19011.95217950268,2734.965378955703,-22.706482058695457
18398.70545395282,2696.547321815977,-22.319602253249055
18513.692303898544,2740.9166701221425,-21.00283502124769
18722.7796906727,2746.149482537516,-18.97664015764279
18397.112557214525,2593.6274407432165,-23.859104568758973
19115.384223332694,2546.869869785046,-24.78921952959493
19447.80650760386,2500.0820795440773,-23.95681449008061
18627.94527518267,2444.1681875737713,-25.02908954451317
19400.98183242794,2739.4294178234445,-17.482090565294488
17675.726067114934,2913.140299370572,-18.06384318478464
18160.05300725185,2952.0149413167233,-15.230708436711431
18653.86814117654,2970.603715837512,-16.424522636316496
18202.480825921142,2810.3459543556964,-17.349905910203915
18158.802852484117,2898.7350412137444,-14.606790272188682
18455.955129724127,3041.8600975489653,-10.687181274316172
17611.380413564904,3027.3217543484534,-12.868564543139557
18438.29022372242,2978.7901156899984,-13.23917540768186
18655.07532719435,2980.2384459433533,-12.263267786316845
18123.803611744694,2919.99081056199,-11.512553434745158
18143.932182648634,3014.8107703709175,-9.912012920082702
18697.92190994393,2864.7684368624277,-12.080830027471706
17535.9123417101,2844.1327821320247,-14.572863885205296
18352.359518820384,2803.0653196287226,-14.0894393353031
18449.840066270073,2627.8537023392328,-16.653062865725683
19822.280689174193,2809.2429904117084,-11.648596641052519
19327.595645753016,2925.8763515394694,-11.047212799303077
19367.883672667842,3011.181948694739,-10.450509019508955
18709.03474314621,2771.415310426301,-13.973820685849518
18758.90521998796,2792.6701917412956,-13.038980816387213
18455.625757518195,2726.4892347446257,-13.837043739326296
18879.305375015865,2880.057553183556,-9.831773947250067
17731.760847477904,2951.2608505456215,-11.116945817862607
17985.957061009358,2874.0503702303627,-12.096897433634506
17277.005529909595,2941.20442071516,-12.552820362237176
17964.072836853393,2842.623286858821,-12.813338279316026
17290.60021624946,2729.6148421968433,-16.69973632804757
18356.41746888328,2787.433064716082,-16.168649756083962
18174.994105415655,2651.4601380165313,-18.059163645460515
18620.346185612867,2703.966846799267,-15.791654421676844
18748.129970234302,2768.135759904846,-14.787759347005037
17142.83039540856,2797.2677007046796,-16.257057122915587
15888.502233023246,2883.1811698510683,-15.454190637817838
17725.227559266557,3058.273925574596,-12.007803109701577
18867.599774660554,3052.7795527085773,-9.904919990941004
19122.444038315352,2877.3185536037695,-13.233168823968242
19171.15604597482,3087.225926049276,-7.739299017440218
17577.367323190134,3284.542767119462,-8.118272898650673
18390.636529969725,3189.0905711182095,-7.390403607526792
18916.633455678882,3131.5351647694215,-7.879500261029299
18964.05245764682,3067.3933691953057,-8.090062946291027
17765.64797446577,3181.6939119643243,-9.92254830875129
18448.844677208745,3188.1114801865547,-6.636472731082272
17568.279119226405,3057.2647188441965,-9.48950494248994
17925.887008798185,3159.396128186248,-7.221694830246793
17563.19661362442,3169.1565973210686,-6.732929231126925
17834.51640382262,3308.5157561462265,-6.1144956290015635
18265.91158419611,3117.219431958504,-8.653347648036805
18443.696756348483,3176.7609021446456,-4.021754571945095
