[28]総推力32bit,[22]刀盘扭矩,地表沉降
17459.0,2450.04,-16.58
16554.0,2377.98,-16.3075
15771.0,2377.98,-16.035
17673.0,2377.98,-15.7625
17065.0,2233.86,-15.49
16805.0,2377.98,-15.2175
17024.0,2666.22,-14.945
17530.0,2522.1,-14.6725
16224.0,2377.98,-14.4
15681.0,2594.16,-12.35
15863.0,2450.04,-10.3
15701.0,2522.1,-8.25
15769.0,2305.92,-6.199999999999999
15925.0,2594.16,-4.15
16662.0,2810.34,-3.846
14707.0,2522.1,-3.542
15219.0,2377.98,-3.2379999999999995
15412.0,2522.1,-2.9339999999999993
16375.0,2522.1,-2.629999999999999
16315.0,2594.16,-2.695129999999999
17823.0,2450.04,-2.7602700000000002
14960.0,2377.98,-2.8254
16708.0,2377.98,-2.89053
17324.0,2594.16,-2.9556699999999996
16696.0,2810.34,-3.0207999999999995
16597.0,2450.04,-3.0859299999999994
17454.0,2594.16,-3.1510700000000007
18581.0,2738.28,-3.2162000000000006
18806.0,3098.58,-3.2813300000000005
19696.0,3170.64,-3.34647
19178.0,3026.52,-3.4116
18217.0,2954.46,-3.47673
19326.0,3026.52,-3.5418699999999994
19165.0,3242.7,-3.6069999999999993
17076.0,3170.64,-3.6721299999999992
19800.0,3170.64,-3.7372699999999988
20597.0,3026.52,-3.8024000000000004
21367.760000000006,3098.58,-3.8675300000000004
21212.0,2954.46,-3.93267
18582.0,2954.46,-3.9978
20014.0,2810.34,-4.0629300000000015
19495.0,2594.16,-4.128070000000001
16552.0,2450.04,-4.193200000000001
18700.0,2377.98,-4.258330000000001
19083.0,2738.28,-4.32347
18576.0,2882.4,-4.3886
18609.0,2882.4,-4.45373
18998.0,2810.34,-4.51887
19447.0,2810.34,-4.584
18530.0,2810.34,-4.6491299999999995
18037.0,2666.22,-4.714269999999999
18737.0,2882.4,-4.779399999999999
16623.0,3026.52,-4.844530000000001
16020.0,3026.52,-4.909669999999998
16038.0,2810.34,-4.9748
16038.0,2594.16,-5.03993
15786.0,2594.16,-5.1050699999999996
15466.0,2594.16,-5.170200000000001
17000.0,2594.16,-5.235330000000001
16760.0,2738.28,-5.300470000000001
16499.0,2377.98,-5.365600000000001
17874.0,2377.98,-5.4307300000000005
18344.0,2954.46,-5.49587
17527.0,2882.4,-5.561
19482.0,2522.1,-5.62613
21367.760000000006,2450.04,-5.691269999999999
