,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,0.3068187958857786,0.26988545015038656,0.37886322916115794,0.39527247753431727,0.22734580166912938
扭矩指数,-0.81729785453533,1.0,-0.9574603515187429,-0.8484825725079715,-0.8320733241348122,-1.0
推进速度,-0.038467452994191235,-0.141696604242212,1.0,-0.06965217096683265,-0.05324292259367331,-0.2211695984588612
刀盘旋转速度,0.2916136976462238,0.188384546398203,0.15145120066281098,1.0,0.2768382280467417,0.1089115521815538
能耗,0.6935958532088201,0.5903667019607993,0.5534333562254072,0.6624111352361787,1.0,0.5108937077441501
地表变形,-0.0592190187081136,-0.16244816995613437,-0.19938151569152635,-0.09040373668075502,-0.07399448830759567,1.0
