,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,-0.6915382392882791,-0.6453413616295627,-0.9312935003409618,-1.0,-0.7895240103579598
扭矩指数,-0.29556411591223847,1.0,0.006564759284513224,-0.27938737942688585,-0.3480938790859241,-0.13761788944388398
推进速度,-0.09990518270344223,0.15602681483459296,1.0,-0.08372844621808963,-0.15243494587712791,0.058041043764912245
刀盘旋转速度,0.6302018841397661,0.8861338816778014,0.9323307593365178,1.0,0.5776721209660804,0.7881481106081206
能耗,-0.03093899658748395,0.22499300095055125,0.27118987860926774,-0.014762260102131353,1.0,0.12700722988087051
地表变形,-0.5032302111111912,-0.24729821357315585,-0.20110133591443938,-0.4870534746258384,-0.5557599742848768,1.0
