,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,0.3247903480515665,0.12360828516606233,-0.15456895110369528,-0.1367212075937617,-0.08567527319874021
扭矩指数,0.3247903480515665,1.0,-0.012141471737250975,-0.4459895277702813,0.1286754423110588,0.11493579198133533
推进速度,0.12360828516606233,-0.012141471737250975,1.0,0.26462866285627273,-0.6647550133300363,0.11067027779262943
刀盘旋转速度,-0.15456895110369528,-0.4459895277702813,0.26462866285627273,1.0,-0.08242355970047854,0.0782920975706784
能耗,-0.1367212075937617,0.1286754423110588,-0.6647550133300363,-0.08242355970047854,1.0,-0.00872657760225804
地表变形,-0.08567527319874021,0.11493579198133533,0.11067027779262943,0.0782920975706784,-0.00872657760225804,1.0
