管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
1,1439,15,37,0.8,16525,13
2,1806,17,35,0.8,18984,12
3,1731,14,38,0.8,15232,10
4,1775,17,39,0.8,16697,9
5,1733,16,39,0.8,16340,7
6,1678,17,32,0.8,21506,6
7,1790,17,31,0.8,21450,4
8,1566,17,24,0.8,27535,3
9,1767,18,25,0.8,28536,1
10,1716,16,34,0.8,18183,0
11,272,12,31,0.8,14816,2
12,2019,18,32,0.8,22070,3
13,2002,15,31,0.8,20345,4
14,2028,19,34,0.8,21861,6
15,2028,20,26,0.8,29372,7
16,1958,14,24,0.8,23801,7
17,1727,17,29,0.8,22635,8
18,1849,14,32,0.8,17229,8
19,1950,14,39,0.8,14187,8
20,1789,18,39,0.9,22832,8
21,1986,14,37,1.0,19356,8
22,1936,16,32,1.0,25072,8
23,1666,12,27,1.0,22744,7
24,1835,14,35,1.0,20398,7
25,1929,16,43,1.0,18865,6
26,1964,17,43,1.0,20241,7
27,1800,17,33,1.0,26287,8
28,1767,15,25,1.0,30351,8
29,2182,15,30,1.0,25718,9
30,1798,16,35,1.0,22676,10
31,1860,15,31,1.0,23297,10
32,1689,11,30,1.0,18465,10
33,1779,17,27,1.0,30870,10
34,2308,14,24,1.0,28679,10
35,1733,17,38,1.0,21619,10
36,1870,16,35,1.0,22406,9
37,1863,14,32,1.0,22262,9
38,1786,21,41,1.0,25144,9
39,1574,18,43,0.9,21006,8
40,1361,16,35,1.0,23428,8
41,1517,20,42,0.9,22718,7
42,1882,17,39,1.0,22130,7
43,1839,16,43,1.0,18793,6
44,2020,19,46,1.0,20551,6
45,1964,15,29,1.0,25162,5
46,1719,16,40,1.0,19987,5
47,1964,18,26,1.0,33790,5
48,2098,17,36,1.0,23152,5
49,1913,12,32,1.0,19925,5
50,2002,15,38,1.0,19692,5
51,1997,16,39,1.0,20444,4
52,1989,16,44,1.0,18646,4
53,1814,14,45,1.0,15737,3
54,1818,16,45,1.0,17551,3
55,1849,16,45,1.0,18212,2
56,1636,17,45,1.0,18503,1
57,1837,14,35,1.0,19684,1
58,1778,17,29,0.9,28180,0
59,1856,17,53,1.0,15562,1
62,1566,11,31,1.0,17862,3
63,1728,11,27,1.0,20156,3
64,1604,10,21,1.0,23422,3
65,1748,11,49,1.0,11935,4
66,1747,12,52,1.0,11477,4
67,1880,13,52,1.0,12567,4
68,1826,15,29,1.0,25498,4
69,1811,14,51,1.0,14176,5
70,1905,14,52,1.0,13995,5
71,384,3,12,1.0,14343,5
72,1680,13,50,1.0,13016,6
73,1982,14,53,1.0,13437,7
74,1968,13,49,1.0,13774,7
