管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
5,486,6,43,0.4,2380,0
6,0,0,0,0.0,0,8
7,3464,12,13,1.1,50797,16
8,3932,16,9,1.1,99193,24
9,3406,16,24,1.1,37382,32
10,3639,18,13,1.1,74368,40
11,3604,18,10,1.1,99602,40
12,3216,15,14,0.7,35834,39
13,3698,14,8,0.7,62613,39
14,4130,15,13,0.7,41724,39
15,3902,15,12,0.7,43018,39
16,4186,17,17,0.7,36179,37
17,4215,17,17,0.7,35692,35
18,4215,17,17,0.7,35692,34
19,4085,15,29,0.7,18249,32
20,4100,16,29,0.7,20126,31
21,3951,15,33,0.7,16381,30
22,3906,15,31,0.7,17446,29
23,3802,14,32,0.7,15535,28
24,3927,11,20,1.0,28191,28
25,3881,14,29,0.7,16900,27
26,3748,13,27,0.7,17856,27
27,3684,17,21,0.7,28106,27
28,4055,18,21,0.7,29687,26
29,4191,11,10,0.8,46138,26
30,4027,18,15,0.7,43125,26
31,4302,18,13,0.7,47469,26
32,4271,13,17,0.7,27425,25
33,4312,15,10,0.7,53886,25
34,3664,17,14,0.9,57318,25
35,3896,18,14,1.1,69734,24
36,4471,15,10,0.9,65173,25
37,4281,16,13,0.7,44094,25
38,3888,16,23,0.7,24679,25
39,4036,15,26,0.7,21077,26
40,3623,15,21,0.7,25322,26
41,3817,15,35,0.7,15763,26
42,3906,16,35,0.7,16454,25
43,3905,16,38,0.7,15500,24
44,3747,16,37,0.7,15313,23
45,3163,15,35,0.7,15568,22
46,3141,15,36,0.7,14673,23
47,3572,15,38,0.7,14017,23
48,3256,15,35,0.7,15551,23
49,3730,17,44,1.1,20649,24
50,3786,15,34,1.1,24153,24
51,3650,15,35,1.1,23704,24
52,3423,17,33,1.1,28575,24
53,3598,18,37,1.1,27168,23
54,3778,19,34,1.1,30186,23
55,3659,19,34,1.1,31483,23
56,3054,18,41,1.1,24745,23
57,3601,19,29,1.1,35305,24
58,3951,17,23,1.1,41779,24
59,4204,19,20,1.1,52116,24
64,4531,18,19,0.7,34119,19
65,4704,15,11,0.7,48573,17
66,4875,16,9,1.0,91616,16
67,4561,17,17,1.0,52820,15
68,3989,17,19,1.1,50443,13
69,4322,17,20,1.1,45975,12
70,4301,17,27,1.1,33961,11
71,3598,17,36,1.1,25603,11
72,3715,15,35,1.1,23530,11
73,3776,13,33,1.1,22457,11
74,3807,12,29,1.1,23180,11
75,3197,15,31,1.1,25940,11
76,3259,15,32,1.1,25137,11
77,3557,18,39,1.1,25328,12
78,3567,16,22,1.1,39205,12
79,3433,15,31,1.1,26382,12
80,3507,17,37,1.1,24786,13
81,3566,17,37,1.1,26046,13
82,3189,15,31,1.1,27227,12
83,3247,16,31,1.1,28728,12
84,3495,17,36,1.1,26110,12
85,3582,16,39,1.1,22879,12
86,3546,16,40,1.1,22305,12
87,3557,15,37,1.1,22858,12
88,3176,15,32,1.1,25735,13
89,3282,16,32,1.1,27177,13
90,3672,19,36,1.1,28450,13
91,3822,17,38,1.1,25258,14
92,3818,17,40,1.1,23609,15
93,3837,17,39,1.1,24781,16
94,3795,16,35,1.1,25338,16
95,3726,16,35,1.1,25419,17
96,3895,16,35,1.1,25683,17
97,3886,16,32,1.1,27884,18
98,4333,19,31,1.1,33247,18
99,4388,19,31,1.1,34575,18
100,3818,16,33,0.9,22291,18
101,4741,20,10,1.1,107329,18
102,4710,19,9,1.1,116763,19
103,4454,19,17,1.1,61855,19
104,4156,21,17,1.1,67376,19
105,3952,20,13,1.1,85468,19
106,3901,19,16,0.8,47375,19
107,3782,19,13,0.7,52093,18
108,3816,20,13,0.7,52671,17
109,4025,19,15,0.7,46322,16
110,3886,19,15,0.7,45975,16
111,4112,20,12,0.7,57279,15
112,4315,19,11,1.1,91529,15
113,3910,18,13,0.7,47946,14
114,4182,19,18,0.7,37284,13
115,3887,19,20,0.7,32657,13
116,3907,20,18,0.7,38323,14
117,4081,18,19,0.7,34092,15
118,4157,20,17,0.7,42128,15
119,4273,17,16,0.7,40524,16
120,4133,18,16,0.7,40216,17
121,3783,18,17,0.7,37796,17
