管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
122,3528,17,25,0.7,24431,17
123,3988,19,18,0.7,36712,17
124,4340,19,13,0.7,50264,18
125,4104,19,12,0.7,55346,18
126,3939,19,11,0.7,59956,19
127,3849,18,10,0.8,74356,19
128,4312,18,16,0.9,49055,20
129,3958,19,16,1.0,59472,21
130,4332,18,4,0.3,66803,22
131,4253,18,7,0.3,39350,23
132,4292,17,9,0.3,28655,25
133,4289,17,12,0.4,27483,27
134,3563,16,25,0.6,19757,28
135,4048,16,29,0.7,19983,30
136,4262,14,26,0.8,21163,30
137,4200,16,36,0.7,16095,30
138,4122,16,30,0.7,18632,30
139,4140,17,28,0.7,21483,30
140,3825,17,27,0.7,22458,30
141,4160,17,22,0.7,27702,28
142,4159,17,17,0.7,34203,27
143,3799,16,26,0.7,21891,26
144,3674,18,35,0.7,18144,25
145,3763,19,36,0.7,18594,23
146,3757,19,31,0.7,21219,22
147,3245,19,32,0.7,20605,21
148,3851,19,31,0.7,21303,20
149,3510,17,30,0.7,19754,19
150,4121,18,32,0.7,20546,17
151,3752,18,28,0.7,22925,17
152,3697,18,28,0.7,22788,16
153,3619,18,29,0.7,21488,16
154,3442,16,33,0.7,17531,15
155,3360,16,35,0.7,16313,15
156,3385,14,36,0.7,14189,14
157,3522,16,37,0.7,15152,14
158,3794,16,30,0.7,19415,14
159,3610,15,33,0.7,16792,14
160,3329,16,35,0.7,16413,13
161,3382,15,39,0.7,14181,14
162,3696,16,36,0.7,15682,14
163,3636,18,31,0.7,20521,14
164,3310,14,31,0.7,16638,15
165,3687,16,31,0.7,18096,15
166,3675,18,32,0.7,19833,14
167,3450,15,33,0.7,16574,13
168,3658,17,34,0.7,17453,13
169,3741,17,30,0.7,20559,12
170,3116,15,28,0.7,19568,11
171,3409,18,32,0.7,20226,11
172,3331,18,32,0.7,20453,11
173,3182,18,29,0.7,22300,10
174,3616,17,30,0.7,20566,10
175,3522,18,31,0.7,20841,10
176,3349,16,38,0.7,14649,10
177,3316,12,41,0.7,11065,10
178,3505,18,39,0.7,16896,9
179,3667,18,30,0.7,21238,9
180,3503,19,30,0.7,22704,9
181,3939,19,32,0.7,21474,9
182,4004,18,28,0.7,23273,10
183,4040,18,29,0.7,21596,10
184,3867,18,31,0.7,20189,10
185,4017,19,28,0.7,23599,11
186,4056,18,21,0.7,30459,11
187,4033,17,21,0.7,28488,12
188,3662,17,32,0.7,19079,12
189,3903,18,33,0.7,19731,12
190,4109,19,29,0.7,23165,13
191,3802,19,29,0.7,22853,13
192,3758,19,29,0.7,22886,13
193,4081,19,30,0.7,22314,13
194,3934,18,27,0.7,23193,13
195,3929,17,28,0.7,22188,13
196,3735,18,31,0.7,20290,12
197,4101,18,24,0.7,26176,11
198,3913,19,28,0.7,23936,11
199,3916,18,30,1.1,33172,10
200,3687,18,33,0.7,19671,10
201,3588,17,31,0.7,19315,10
202,3723,15,33,0.7,16484,10
203,3763,14,34,0.7,15091,11
204,4073,16,26,0.7,21826,11
205,3885,16,26,0.7,21541,11
206,3765,15,26,0.7,20925,10
207,4001,15,25,0.7,21154,9
208,3790,15,26,0.7,20747,9
209,4019,17,26,0.7,22999,8
210,3550,18,31,0.7,20510,7
211,3636,18,27,0.7,23733,7
212,3819,18,29,0.7,21986,8
213,3552,19,25,0.7,26550,9
214,3588,18,21,0.7,30805,9
215,3795,19,21,0.7,32279,10
216,3845,19,29,0.7,22800,10
217,3975,17,20,0.7,30474,11
218,3817,18,24,0.7,25877,11
219,4174,18,24,0.7,26301,12
220,4465,17,19,0.7,31863,12
221,4589,17,18,0.7,33413,13
222,4354,16,18,0.7,31274,15
223,4813,17,16,0.7,36384,16
224,5159,13,9,0.5,36233,17
225,4125,12,27,0.4,8905,18
226,5207,13,10,0.7,43963,17
227,4888,17,23,0.7,26255,16
228,4363,16,24,0.7,24076,15
229,4346,17,23,0.7,26319,15
230,3869,16,21,0.7,26166,14
231,3925,16,30,0.7,18879,13
232,4036,17,27,0.7,22513,12
233,3964,17,27,0.7,21774,12
234,4001,17,27,0.7,22710,11
235,4011,15,30,0.7,18474,10
236,4028,16,22,0.7,25443,11
237,4018,18,16,0.7,38672,12
238,3938,19,19,0.7,34395,13
239,4050,17,23,0.7,26633,14
240,4050,17,23,0.7,26633,15
241,3761,16,28,0.7,20301,15
242,3753,15,34,0.7,16107,14
243,3683,14,35,0.7,14054,13
244,4017,14,41,0.7,12674,12
245,4232,11,24,0.7,16012,11
246,4366,12,30,0.7,14404,11
247,4074,12,33,0.7,13451,11
248,3785,14,40,0.7,12496,11
249,3780,15,43,0.7,12369,11
250,3938,14,32,0.7,15327,11
251,4279,13,29,0.7,16204,10
252,4287,16,29,0.7,19279,10
253,4279,14,27,0.7,19168,10
254,4216,16,22,0.7,25133,10
255,4694,15,27,0.7,19909,10
256,4200,15,26,0.7,20227,10
257,4127,15,28,0.7,19624,10
258,4061,14,28,0.7,18127,10
259,3718,12,27,0.7,16041,10
260,3835,11,26,0.7,15139,10
261,3625,11,28,0.7,14355,11
262,3668,13,27,0.7,16719,11
263,3768,13,27,0.7,16853,11
264,3971,13,33,0.7,14368,12
265,3953,13,38,0.7,12882,12
266,3674,12,34,0.7,13258,13
267,3741,12,35,0.7,12851,14
268,3665,16,30,0.7,19228,14
269,3772,17,30,0.7,19822,15
270,4166,14,23,0.7,21442,16
271,4203,16,20,0.7,27426,16
272,4332,16,25,0.7,22592,17
273,4391,16,25,0.7,22502,18
274,4277,15,29,0.7,18898,19
275,4107,15,26,0.7,21153,19
276,4180,15,23,0.7,22497,20
277,4345,18,29,0.7,21712,21
278,4326,14,20,0.7,25577,21
279,3918,12,13,0.7,31505,22
280,4122,13,18,0.7,26215,23
281,4401,14,19,0.7,25410,23
282,4719,13,19,0.7,23841,24
283,4510,14,22,0.7,22884,25
284,4601,16,25,0.7,22694,25
285,4226,18,23,0.7,27517,26
286,4585,18,22,0.7,28873,27
287,4142,17,19,0.7,31719,28
288,5514,10,4,0.6,76783,28
289,5194,10,6,0.3,24327,29
290,4973,11,6,0.5,47110,30
291,4955,9,8,0.7,40616,30
292,4929,13,10,0.7,45101,31
293,5107,11,6,0.7,62869,32
294,4757,11,12,0.7,31277,32
295,5275,16,9,0.5,46895,33
296,5584,10,2,0.5,113855,34
297,5487,9,9,0.9,44445,34
298,5341,13,12,0.9,46471,35
299,5160,10,12,0.7,28912,36
300,5120,17,18,0.7,32717,37
301,5397,13,10,0.7,44161,37
302,5718,16,19,0.7,30433,38
304,5666,16,16,0.7,33976,39
305,5572,18,18,0.7,35985,40
306,5636,16,16,0.7,35874,41
307,5151,11,11,0.7,35262,41
308,6085,15,13,0.7,41233,42
309,6415,12,9,0.7,45727,43
310,6317,12,10,0.7,42768,43
311,2671,13,40,1.1,17709,44
312,2671,13,40,1.1,17709,45
313,5976,16,17,0.7,32907,46
314,6019,14,17,0.7,28564,46
315,5902,13,14,0.7,32466,47
316,5879,14,13,0.7,37039,43
317,5523,18,20,0.7,32233,39
318,5086,17,17,0.7,35961,35
319,5232,18,20,0.7,31815,31
320,5362,18,22,0.9,37065,27
321,4343,18,34,1.1,29334,28
322,5240,16,18,0.7,33809,28
323,5289,17,22,0.8,31419,28
324,5126,17,21,0.9,35510,29
325,5007,15,22,0.8,26698,29
326,5151,16,21,0.9,33401,29
327,5335,16,21,0.8,31916,30
328,5338,15,22,0.8,28164,30
329,5588,13,17,0.8,30092,30
330,5835,13,17,0.7,27560,31
331,5656,12,16,0.7,27532,31
332,5677,12,18,0.7,24161,32
333,5585,12,15,0.7,28553,32
334,5577,11,17,0.7,23817,32
335,5585,15,15,0.3,16216,33
336,5321,11,18,0.7,20904,33
337,5382,11,17,0.7,24193,33
338,5367,11,16,0.7,24629,34
339,5283,11,15,0.7,26151,34
340,5636,12,16,0.7,26071,34
341,5690,11,16,0.7,25171,35
342,5750,12,15,0.7,28553,35
343,5453,11,15,0.7,26727,35
344,5366,10,16,0.7,22791,36
345,5504,11,16,0.7,24598,36
346,5490,11,11,0.7,35134,36
347,5440,8,7,0.7,40224,37
348,5650,13,16,0.7,29053,37
350,5648,17,15,0.9,51852,38
351,5437,13,18,0.9,32658,38
352,5539,15,19,1.1,44938,39
353,5497,13,18,1.1,40031,39
354,5794,12,18,1.1,37336,39
355,5782,14,23,1.1,34520,40
356,5741,14,23,1.1,33021,40
357,5623,12,20,1.1,33431,40
358,5954,11,16,1.1,39070,41
359,6036,9,16,1.1,31572,41
360,5838,9,16,1.1,31156,41
361,5795,9,21,1.1,24772,40
362,4828,12,31,1.1,21598,39
363,5218,13,31,1.1,23197,38
364,5434,14,28,1.1,27079,37
365,5389,13,26,1.1,27714,35
366,4977,12,28,1.1,24262,34
367,5261,11,20,1.1,31335,33
368,5133,10,27,1.1,20530,32
369,5115,8,28,1.1,15525,31
370,4904,8,29,1.1,15249,29
371,4909,9,26,1.1,19259,28
372,4796,11,26,1.1,24275,27
373,4903,12,27,1.1,25676,26
374,5403,13,24,1.1,29935,25
375,5621,16,20,1.1,44075,23
377,5621,16,20,1.1,44075,25
378,5628,11,25,1.1,25633,25
379,5936,13,31,1.1,23779,26
380,5723,12,29,1.1,23938,27
381,5423,13,27,1.1,27568,27
382,5507,13,28,1.1,26142,28
383,5499,15,30,1.1,27554,29
384,5314,14,27,1.1,29087,29
385,5456,14,26,1.1,29836,30
386,5529,16,27,1.1,33708,31
387,5750,17,25,1.1,37934,31
388,5833,17,21,1.1,43997,32
389,5783,17,21,1.1,44822,33
390,5800,19,21,1.0,46315,33
391,5865,18,21,1.1,48505,34
392,5797,17,18,1.1,53404,35
393,5769,17,16,1.1,59724,35
394,6148,19,17,1.1,61957,36
395,5792,16,15,1.1,59329,37
396,5268,17,18,1.1,51739,37
397,5321,17,21,1.1,45750,38
398,5763,16,19,1.1,47534,39
399,5656,18,22,1.1,44061,39
400,5813,16,30,1.1,29992,40
401,6210,16,30,1.1,30063,40
402,5260,13,30,1.1,23711,41
403,5891,13,23,1.1,32348,42
404,6098,19,20,1.1,53113,42
405,5893,15,21,1.1,39818,43
406,5521,15,27,1.1,31036,43
407,5770,14,26,1.1,31042,44
408,5762,14,30,1.1,26310,45
409,5993,13,29,1.1,25508,45
410,6090,14,37,1.1,22056,46
411,5780,11,29,1.1,22001,44
412,6043,14,27,1.1,29202,42
413,5795,15,25,1.1,33292,40
414,5169,13,27,1.1,26485,37
415,5352,16,19,1.1,45727,35
416,5433,14,23,1.1,33807,35
417,5444,15,22,1.1,37731,34
418,5681,14,19,1.1,40565,34
419,5729,16,20,1.1,43289,34
420,5578,15,26,1.1,32093,33
421,5417,13,28,1.1,25184,34
422,5741,12,25,1.1,26849,34
423,5797,14,18,1.1,44404,35
424,6101,15,22,1.1,37468,35
425,5502,14,25,1.1,30671,36
426,5109,13,26,1.1,26945,34
427,5013,15,28,1.1,29287,33
428,5050,15,28,1.1,29361,31
429,5156,16,28,1.1,32098,30
430,4982,17,27,1.1,34232,28
431,5040,15,29,1.1,29489,29
432,4874,17,19,1.1,48269,30
433,4847,14,29,1.1,27675,30
434,4823,15,28,1.1,29961,31
435,4843,15,27,1.1,30990,32
436,4840,15,31,1.1,26728,31
437,4985,13,29,1.1,25157,31
438,5148,13,26,1.1,28361,31
439,5063,14,29,1.1,26853,31
440,5071,13,29,1.1,25921,30
441,4898,14,31,1.1,24442,29
442,5002,15,32,1.1,25789,28
443,4849,14,26,1.1,30255,26
444,4729,16,31,1.1,29230,25
445,4609,15,28,1.1,30648,23
446,4863,16,26,1.1,33822,23
447,4675,16,29,1.1,30598,22
448,4589,16,25,1.1,36089,21
449,5127,16,19,1.1,43089,20
450,5241,14,19,1.1,41923,19
451,5270,18,22,1.1,45742,19
452,5407,16,18,1.1,49844,19
453,5470,15,16,1.1,51558,19
454,5656,13,15,1.1,49003,19
455,5776,8,11,0.7,26031,19
456,5987,8,8,0.8,37871,18
457,5909,9,13,1.1,37127,17
458,4881,8,13,1.1,35450,15
459,4958,11,10,0.7,37174,14
460,4994,14,9,0.7,52549,13
461,3815,8,10,0.4,16013,15
462,3086,2,36,0.3,1410,17
463,3633,4,30,0.3,2565,20
464,3052,6,45,0.3,2384,22
465,2844,4,49,0.3,1839,24
466,2275,4,52,0.3,1407,20
467,2296,3,48,0.3,1328,16
468,2780,2,26,0.3,1858,11
469,2220,2,25,0.3,1713,12
