管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
416,2510,8,41,0.8,8368,5
417,2599,8,44,0.8,9360,5
418,2598,9,45,0.8,10043,5
419,2554,10,50,0.8,7749,5
420,2103,9,69,0.8,3746,5
421,1876,6,41,0.8,8117,5
422,1982,8,56,0.8,7067,5
423,2215,9,58,0.8,5735,5
424,2148,7,49,0.8,8553,5
425,2154,9,45,0.8,7773,5
426,2125,8,45,0.8,8775,5
427,2174,9,30,0.8,14726,5
428,2170,10,33,0.8,12915,4
429,2314,10,32,0.8,13017,4
430,2272,10,43,0.8,11248,3
431,2221,11,47,0.8,11536,3
432,2288,13,45,0.8,11480,3
433,2482,12,38,0.8,6288,3
434,2036,5,15,0.8,23928,3
435,2132,8,47,0.8,3484,3
436,2184,3,11,0.8,28371,3
437,2167,7,9,0.8,44065,3
438,2067,9,29,0.8,8735,3
439,2078,6,28,0.8,8078,3
440,2092,5,14,0.8,19143,3
441,2090,6,19,0.8,13739,3
442,2073,6,20,0.8,16181,3
443,1804,8,38,0.8,10963,3
444,1921,10,25,0.6,17118,3
445,2048,13,54,0.6,9470,3
446,2148,15,43,0.6,9660,3
447,2083,12,42,0.6,9205,3
448,2025,11,22,0.6,17783,3
449,2030,12,32,0.6,10396,3
450,2184,10,28,0.6,12573,3
451,2170,10,25,0.6,11206,3
452,2206,8,13,0.6,20034,3
