,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,-0.650078679629287,-0.3923000612996191,-0.8171743445316659,-0.3047211858864374,-0.6834563438453878
扭矩指数,0.36267116651117426,1.0,0.5579874030760547,0.1331131198440079,0.6455662784892364,0.266831120530286
推进速度,-0.099181054585257,-0.16164343635004438,1.0,-0.3287391012524234,0.1837140573928051,-0.19502110056614524
刀盘旋转速度,-0.7704419533328336,-0.832904335097621,-0.5751257167679532,1.0,-0.4875468413547715,-0.8662819993137219
能耗,0.291742172733344,0.22927979096855663,0.4870584092982245,0.06218412606617767,1.0,0.19590212675245577
地表变形,-0.6290240366151939,-0.6914864183799813,-0.43370780005031345,-0.8585820832823603,-0.34612892463713174,1.0
