,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,-0.31509427649178273,-0.4803097772587156,0.348700646960378,0.3177048413547653,0.7177210036191796
扭矩指数,-0.31509427649178273,1.0,0.0750303563121543,-0.00925452027833591,0.24076008794878587,-0.30020119867568107
推进速度,-0.4803097772587156,0.0750303563121543,1.0,0.11895552817532579,-0.6919444983974166,-0.3390159428007667
刀盘旋转速度,0.348700646960378,-0.00925452027833591,0.11895552817532579,1.0,0.2977537284815178,0.3240374795061967
能耗,0.3177048413547653,0.24076008794878587,-0.6919444983974166,0.2977537284815178,1.0,0.25993776306940647
地表变形,0.7177210036191796,-0.30020119867568107,-0.3390159428007667,0.3240374795061967,0.25993776306940647,1.0
