index,舱内土压,推进速度,[15]刀盘旋转速度,[28]総推力32bit,[22]刀盘扭矩,地表沉降
舱内土压,1.0,0.04857533498767581,0.07828214026982262,0.04386310531329053,0.08572911656011306,0.12105640691902438
推进速度,0.04857533498767581,1.0,0.03564926989776272,-0.29630570658615546,-0.13489842213325035,0.03192935110361564
[15]刀盘旋转速度,0.07828214026982262,0.03564926989776272,1.0,0.4443690225571327,0.517089037241805,0.07036017113542217
[28]総推力32bit,0.04386310531329053,-0.29630570658615546,0.4443690225571327,1.0,0.7479098109909247,0.24260297185450697
[22]刀盘扭矩,0.08572911656011306,-0.13489842213325035,0.517089037241805,0.7479098109909247,1.0,0.1928365587349199
地表沉降,0.12105640691902438,0.03192935110361564,0.07036017113542217,0.24260297185450697,0.1928365587349199,1.0
