,舱内土压,推进速度,[15]刀盘旋转速度,[28]総推力32bit,[22]刀盘扭矩,地表沉降
舱内土压,1.0,0.30887721514106753,-0.06826234263807672,0.18303458641290682,-0.04925322666486457,0.4380012996862128
推进速度,-0.3673395703554987,1.0,-0.6949800178347918,-0.44368308878380835,-0.6759709018615797,-0.18871637551050235
[15]刀盘旋转速度,-0.6723595525207068,-0.6228604422208557,1.0,-0.7487030709490164,-0.9809908840267878,-0.49373635767571045
[28]総推力32bit,-0.16788001450931378,-0.11838090420946279,-0.495520461988607,1.0,-0.47651134601539485,0.010743180335682534
[22]刀盘扭矩,-0.6318986746316723,-0.5823995643318213,-0.9595391221109655,-0.708242193059982,1.0,-0.453275479786676
地表沉降,0.13496974266224113,0.18446885296209212,-0.19267070481705212,0.05862622423393141,-0.17366158884383998,1.0
