,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,0.41226445494655795,-0.004849418763683776,-0.31795023915548043,-0.08312610570182483,-0.13302917658265165
扭矩指数,0.41226445494655795,1.0,-0.14884608309103034,-0.4536521499988635,0.03812995977398764,-0.1788741242510914
推进速度,-0.004849418763683776,-0.14884608309103034,1.0,0.4622458429241322,-0.642202776331552,-0.05105077101165837
刀盘旋转速度,-0.31795023915548043,-0.4536521499988635,0.4622458429241322,1.0,-0.2410136550422212,0.1494454102383127
能耗,-0.08312610570182483,0.03812995977398764,-0.642202776331552,-0.2410136550422212,1.0,-0.04537699639504729
地表变形,-0.13302917658265165,-0.1788741242510914,-0.05105077101165837,0.1494454102383127,-0.04537699639504729,1.0
