,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,-0.05914427687593245,0.06262854429485133,-0.05470245797595808,-0.4794565345536349,0.3772938161091262
扭矩指数,-0.07099802213882207,1.0,-0.1742981035741639,-0.2916291058449733,-0.7163831824226501,0.14036716824011097
推进速度,0.7886348096210669,0.5635619070149414,1.0,0.5680037259149158,0.1432496493372389,1.0
刀盘旋转速度,0.022981113769303157,-0.20209178883682244,-0.08031896766603867,1.0,-0.622404046514525,0.23434630414823623
能耗,0.36763534974995643,0.14256244714383076,0.26433526831461457,0.14700426604380515,1.0,0.5790005401288895
地表变形,0.09534657275001988,-0.12972632985610574,-0.007953508685321947,-0.12528451095613136,-0.5500385875338082,1.0
