,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
推力指数,1.0,0.7388922977060218,-0.3127567914368334,0.45663851510070647,0.7560448924737904,-0.30529335472046454
扭矩指数,0.7388922977060218,1.0,-0.1468527256820115,0.5254997731348254,0.8103217792060317,-0.23972109562743044
推进速度,-0.3127567914368334,-0.1468527256820115,1.0,0.04489806215671124,-0.5147197796855335,-0.011228157436473608
刀盘旋转速度,0.45663851510070647,0.5254997731348254,0.04489806215671124,1.0,0.4685367724419488,-0.0677045992634986
能耗,0.7560448924737904,0.8103217792060317,-0.5147197796855335,0.4685367724419488,1.0,-0.1492024564110079
地表变形,-0.30529335472046454,-0.23972109562743044,-0.011228157436473608,-0.0677045992634986,-0.1492024564110079,1.0
